"sys_id","u_categories_list","u_service_types"
"9ce3ba41db8f5c108df5d8c7f4961921",,"Assist Travel/Transport"
"ae316ddfdbd3141067de4837059619c1",,"Hearing Support"
"b76ca0b3db6b5c10d4d3a584059619b2",,"Adventure Therapy"
"b9c99276db36141067de4837059619e5",,"Art Therapy"
"c322d017db959340a31ffa0dbf9619f3","Improved relationships, Increased social and 
community participation, Improved daily living skills, Improved learning, Improved health and wellbeing, Finding and keeping a job","Individual counselling"
"c322d017db959340a31ffa0dbf9619f6","Home","Completion of home modifications (minor)"
"c322dcd3db959340a31ffa0dbf9619ab","Assistance with daily living","Respite (overnight)"
"c722d017db959340a31ffa0dbf9619f2","Finding and keeping a job","Work experience and placements"
"c722d017db959340a31ffa0dbf9619f5",,"Allied health � general"
"c722dcd3db959340a31ffa0dbf9619aa","Transport","Transport"
"ca52c021db669c50f43750e4f39619cf",,"Assistive Technology"
"cb22d017db959340a31ffa0dbf9619f4","Improved health and wellbeing","Exercise physiology"
"cb22dcd3db959340a31ffa0dbf9619a9","Assistance with daily living","Domestic services"
"cbedccb7dba75c10d4d3a584059619b1",,"Developmental Education"
"cf22d017db959340a31ffa0dbf9619f3","Improved health and wellbeing","Podiatry"
"cf22dcd3db959340a31ffa0dbf9619a8",,"Assistance with household tasks"
"d2006f91dba29c50f43750e4f39619cb",,"Personal Training"
"d69f875fdba4c0103cfa366d7c961984","Assistance with social and community participation, Increased social and 
community participation","Community Connection"
"ddb3f919dba160d0d4d3a5840596190a",,"Medium Term Accommodation"
"df2212d7dbcf94508df5d8c7f4961914",,"School Leaver Employment Supports"
"df4a12b6db36141067de48370596193b",,"Early Childhood Early Intervention"
"dfe3ef91db83dc108df5d8c7f49619c6",,"Play Therapy"
"e11c5b201bba1890908033fccc4bcbb4",,"School Holiday programs"
"e1f78981db1f5c508df5d8c7f496194d",,"Specialist Support Coordination"
"e530db5fdba4c0103cfa366d7c9619a8","Support coordination","Information Service"
"eaff81efdbb74050139b2db6149619b3",,"e-health"
"f2b91a76db36141067de48370596192a",,"Music Therapy"
"fdb0d75fdba4c0103cfa366d7c961918","Improved living arrangements","Specialist Disability Accommodation"
"fdc2213d1bea5c50908033fccc4bcb47",,"Specialised Driving Lessons"
